Meshed Network Communication Log
Time	Source	Target	Type	Range (m)	Message Lifetime Remaining (s)	Message Delay (s)
7.00	3	6	VTV	13.42	5.00	0.09
8.00	3	6	VTV	22.10	5.00	0.06
9.00	3	6	VTV	34.99	5.00	0.09
11.00	0	3	VTV	44.57	5.00	0.05
12.00	0	3	VTV	31.84	5.00	0.05
12.00	6	9	VTV	38.87	5.00	0.06
13.00	0	3	VTV	23.82	5.00	0.08
13.00	6	9	VTV	20.72	5.00	0.02
14.00	0	12	VTV	20.17	5.00	0.08
14.00	0	13	VTV	33.23	5.00	0.07
14.00	0	3	VTV	15.37	5.00	0.07
14.00	12	13	VTV	15.60	5.00	0.06
14.00	12	3	VTV	9.44	5.00	0.04
14.00	13	3	VTV	25.04	5.00	0.02
14.00	3	4	VTV	44.67	5.00	0.09
14.00	6	9	VTV	3.65	5.00	0.04
15.00	0	12	VTV	10.96	5.00	0.06
15.00	0	13	VTV	29.75	5.00	0.06
15.00	0	3	VTV	12.99	5.00	0.04
15.00	0	4	VTV	41.55	5.00	0.02
15.00	12	13	VTV	20.33	5.00	0.00
15.00	12	3	VTV	11.91	5.00	0.09
15.00	12	4	VTV	43.16	5.00	0.05
15.00	13	3	VTV	31.13	5.00	0.08
15.00	3	4	VTV	31.32	5.00	0.08
15.00	6	9	VTV	26.58	5.00	0.07
16.00	0	12	VTV	4.46	5.00	0.03
16.00	0	13	VTV	25.98	5.00	0.07
16.00	0	3	VTV	21.46	5.00	0.04
16.00	0	4	VTV	37.51	5.00	0.07
16.00	12	13	VTV	28.79	5.00	0.06
16.00	12	3	VTV	17.00	5.00	0.05
16.00	12	4	VTV	33.12	5.00	0.09
16.00	13	3	VTV	42.60	5.00	0.08
16.00	3	4	VTV	16.50	5.00	0.07
16.00	6	9	VTV	48.96	5.00	0.01
17.00	0	12	VTV	18.55	5.00	0.01
17.00	0	13	VTV	22.31	5.00	0.06
17.00	0	3	VTV	38.66	5.00	0.09
17.00	0	4	VTV	42.96	5.00	0.04
17.00	12	13	VTV	39.83	5.00	0.05
17.00	12	3	VTV	20.23	5.00	0.08
17.00	12	4	VTV	24.77	5.00	0.06
17.00	13	9	VTV	48.32	5.00	0.01
17.00	16	3	VTV	42.29	5.00	0.07
17.00	16	4	VTV	37.28	5.00	0.07
17.00	3	4	VTV	5.08	5.00	0.09
18.00	0	12	VTV	32.08	5.00	0.06
